"Name","Delay(1/60)","Column","Row"
"Frame1","62","0","0"
"Frame2","62","1","0"
"Frame3","62","2","0"
"Frame4","62","3","0"
"Frame5","62","4","0"
"Frame6","62","5","0"
"Frame7","62","6","0"
"Frame8","62","7","0"
"Frame9","62","8","0"
"Frame10","62","9","0"
"Frame11","62","0","1"
"Frame12","62","1","1"
"Frame13","62","2","1"
"Frame14","62","3","1"
"Frame15","62","4","1"
"Frame16","62","5","1"
"Frame17","62","6","1"
"Frame18","62","7","1"
"Frame19","62","8","1"
"Frame20","62","9","1"
"Frame21","62","0","2"
"Copy_Frame21","62","1","2"
"Copy_Copy_Frame21","62","2","2"
"Copy_Copy_Copy_Frame21","62","3","2"
"Copy_Copy_Copy_Copy_Frame21","62","4","2"
"Frame22","62","5","2"
"Frame23","62","6","2"
"Frame24","62","7","2"
"Copy_Frame25","62","8","2"
"Copy_Copy_Frame25","62","9","2"
"Copy_Frame25","62","0","3"
"Frame25","62","1","3"
"Copy_Frame25","62","2","3"
"Frame26","62","3","3"
"Frame27","62","4","3"
"Frame28","62","5","3"
"Frame29","62","6","3"
"Frame30","62","7","3"
"Frame31","62","8","3"
"Frame32","62","9","3"
"Frame33","62","0","4"
"Frame34","62","1","4"
"Frame35","62","2","4"
"Frame36","62","3","4"
"Frame37","62","4","4"
"Frame38","62","5","4"
"Frame39","62","6","4"
"Frame40","62","7","4"
"idle","62","8","4"
"Copy_idle","62","9","4"
"Copy_Copy_idle","62","0","5"
"Copy_Copy_Copy_idle","62","1","5"
"Copy_Copy_Copy_Copy_idle","62","2","5"
"Copy_Copy_idle","62","3","5"
"Copy_Copy_Copy_idle","62","4","5"
"Copy_Copy_Copy_Copy_idle","62","5","5"
"Copy_Copy_Copy_Copy_Copy_idle","62","6","5"
"IdleMelee","62","7","5"
"Copy_IdleMelee","62","8","5"
"Copy_Copy_IdleMelee","62","9","5"
"Copy_IdleMelee","62","0","6"
"Copy_IdleMelee","62","1","6"
"Copy_Copy_IdleMelee","62","2","6"
"Copy_Copy_Copy_IdleMelee","62","3","6"
"Copy_Copy_Copy_Copy_IdleMelee","62","4","6"
"Copy_Copy_Copy_Copy_Copy_IdleMelee","62","5","6"
"Copy_Copy_Copy_Copy_Copy_Copy_IdleMelee","62","6","6"
"Copy_Copy_Copy_Copy_Copy_Copy_Copy_IdleMelee","62","7","6"
"Copy_Copy_Copy_Copy_Copy_Copy_Copy_Copy_IdleMelee","62","8","6"
"Copy_Copy_Copy_Copy_Copy_Copy_Copy_Copy_Copy_IdleMelee","62","9","6"
"Copy_Copy_Copy_Copy_IdleMelee","62","0","7"
"Copy_Copy_Copy_IdleMelee","62","1","7"
"Copy_Copy_Copy_Copy_IdleMelee","62","2","7"
"Copy_Copy_Copy_Copy_IdleMelee","62","3","7"
"Copy_Frame1","62","4","7"
"Copy_Copy_Frame1","62","5","7"
"Copy_Copy_Copy_Frame1","62","6","7"
"Copy_Copy_Copy_Copy_Frame1","62","7","7"
"Copy_Copy_Copy_Copy_Copy_Frame1","62","8","7"
"Copy_Copy_Copy_Copy_Copy_Copy_Frame1","62","9","7"
"Copy_Copy_Copy_Copy_Copy_Copy_Copy_Frame1","62","0","8"
"Copy_Copy_Copy_Copy_Copy_Copy_Copy_Copy_Frame1","62","1","8"
"Copy_Copy_Copy_Copy_Copy_Copy_Copy_Copy_Copy_Frame1","62","2","8"
"Copy_Frame23","62","3","8"
"Copy_Frame1","62","4","8"
"Copy_Copy_Frame1","62","5","8"
"Copy_Copy_Frame1","62","6","8"
