"Name","Delay(1/60)","Column","Row"
"attackMelee","5","0","0"
"attackMelee","5","1","0"
"attackMelee","5","2","0"
"attackMelee","5","3","0"
"attackMelee","5","4","0"
"attackMelee","5","5","0"
"attackMelee","5","6","0"
"walk","5","7","0"
"walk","5","8","0"
"walk","5","9","0"
"walk","5","0","1"
"walk","5","1","1"
"walk","5","2","1"
"walk","5","3","1"
"walk","5","4","1"
"walk","5","5","1"
"walk","5","6","1"
"dead","5","7","1"
"dead","5","8","1"
"dead","5","9","1"
"dead","5","0","2"
"dead","5","1","2"
"dead","5","2","2"
"dead","5","3","2"
"dead","5","4","2"
"walkRange","15","5","2"
"walkRange","15","6","2"
"walkRange","15","7","2"
"walkRange","15","8","2"
"walkRange","15","9","2"
"walkRange","15","0","3"
"walkRange","15","1","3"
"walkRange","15","2","3"
"walkRange","5","3","3"
"walkRange","5","4","3"
