"Name","Delay(1/60)","Column","Row"
"idle","5","0","0"
"idle","5","1","0"
"idle","5","2","0"
"idle","5","3","0"
"idle","5","4","0"
"idle","5","5","0"
"idle","5","6","0"
"idle","5","7","0"
"idle","5","8","0"
"idle","5","9","0"
"death","5","0","1"
"death","5","1","1"
"death","5","2","1"
"death","5","3","1"
"death","5","4","1"
"death","5","5","1"
"concern","5","6","1"
"concern","5","7","1"
"concern","5","8","1"
"concern","5","9","1"
"concern","5","0","2"
"concern","5","1","2"
"concern","5","2","2"
"concern","5","3","2"
"concern","5","4","2"
