"Name","Delay(1/60)","Column","Row"
"death","15","0","0"
"death","15","1","0"
"death","15","2","0"
"death","15","3","0"
"death","15","4","0"
"death","15","5","0"
"death","15","6","0"
"death","15","7","0"
"death","15","8","0"
"death","15","9","0"
"idle","15","0","1"
"idle","15","1","1"
"idle","15","2","1"
"idle","15","3","1"
"idle","46","4","1"
"idle","15","5","1"
"idle","15","6","1"
"idle","15","7","1"
"idle","15","8","1"
"idle","15","9","1"
"idle","15","0","2"
"walk","15","1","2"
"walk","15","2","2"
"walk","15","3","2"
"walk","15","4","2"
"walk","15","5","2"
"walk","15","6","2"
"walk","15","7","2"
"attack","15","8","2"
"attack","15","9","2"
"attack","15","0","3"
"attack","15","1","3"
"attack","15","2","3"
